"Ticker","Market Cap","Short Float","Relative Volume","Price","Earnings Date"
"AXGN",2099.99,10.54%,0.61,39.49,7/29/2026 8:30:00 AM
"AXS",8588.76,2.76%,0.65,116.50,7/28/2026 4:30:00 PM
"AXTA",7011.26,4.40%,0.63,32.76,7/28/2026 8:30:00 AM
"AXTI",3089.94,17.58%,0.59,47.23,7/30/2026 4:30:00 PM
"AZN",262500.25,0.17%,0.89,169.26,7/27/2026 8:30:00 AM
"BA",165165.10,1.87%,0.60,209.52,7/28/2026 8:30:00 AM
"BAFN",24.76,9.29%,0.45,6.03,7/30/2026 4:30:00 PM
"BANC",3281.42,6.38%,1.20,21.28,7/29/2026 8:30:00 AM
"BAND",1914.63,12.44%,0.89,59.80,7/29/2026 8:30:00 AM
"BAX",11568.91,7.20%,0.71,22.40,7/30/2026 8:30:00 AM
"BBAI",1321.90,30.81%,0.53,2.76,7/30/2026 4:30:00 PM
"BBNX",706.30,19.80%,0.61,15.85,7/29/2026 4:30:00 PM
"BBT",2532.61,4.55%,0.69,30.14,7/29/2026 4:30:00 PM
"BBUC",6440.00,4.22%,0.47,31.11,7/31/2026 8:30:00 AM
"BBVA",143223.24,0.02%,0.67,25.95,7/30/2026 8:30:00 AM
"BC",5192.76,7.85%,0.77,79.92,7/30/2026 8:30:00 AM
"BCPC",5231.06,1.89%,0.57,162.81,7/31/2026 8:30:00 AM
"BDC",4001.89,7.79%,0.72,102.76,7/30/2026 8:30:00 AM
"BE",52590.83,7.20%,1.29,184.89,7/28/2026 4:30:00 PM
"BELFA",3796.08,9.09%,1.65,233.15,7/29/2026 4:30:00 PM
"BEN",16883.01,7.45%,0.46,32.49,7/31/2026 8:30:00 AM
"BEP",10134.39,0.43%,0.73,33.12,7/31/2026 8:30:00 AM
"BEPC",6116.72,6.38%,0.87,33.53,7/31/2026 8:30:00 AM
"BFAM",3986.01,5.71%,0.46,75.77,7/30/2026 4:30:00 PM
"BFLY",1719.15,15.23%,0.77,6.58,7/30/2026 8:30:00 AM
"BG",23579.02,3.92%,0.37,121.53,7/29/2026 8:30:00 AM
"BGC",5581.01,3.39%,0.47,11.65,7/30/2026 8:30:00 AM
"BHC",1654.52,2.23%,0.54,4.43,7/29/2026 4:30:00 PM
"BHE",2909.63,4.27%,0.57,81.10,7/29/2026 4:30:00 PM
"BIIB",29850.75,4.10%,0.48,202.19,7/29/2026 8:30:00 AM
"BIP",18824.78,0.28%,1.42,40.88,7/30/2026 8:30:00 AM
"BJRI",1405.19,8.74%,0.84,66.86,7/30/2026 4:30:00 PM
"BKR",56795.93,2.69%,1.15,57.25,7/27/2026 8:30:00 AM
"BLCO",5765.19,9.56%,1.25,16.17,7/29/2026 8:30:00 AM
"BLDP",874.29,9.67%,1.03,2.90,7/31/2026 8:30:00 AM
"BLDR",7836.81,6.93%,0.70,72.86,7/30/2026 8:30:00 AM
"BLKB",1502.44,13.73%,0.79,32.71,7/29/2026 8:30:00 AM
"BLX",2092.10,1.88%,0.47,59.64,7/27/2026 4:30:00 PM
"BMRC",465.78,5.46%,0.81,28.77,7/27/2026 8:30:00 AM
"BMY",126792.21,2.21%,1.03,62.09,7/30/2026 8:30:00 AM
"BN",93074.11,0.87%,0.73,41.67,7/29/2026 4:30:00 PM
"BNL",4287.90,6.54%,0.62,22.36,7/29/2026 4:30:00 PM
"BOH",3326.98,9.50%,2.31,83.97,7/27/2026 8:30:00 AM
"BOOM",121.38,1.59%,0.48,5.93,7/29/2026 4:30:00 PM
