# v6_wfo_report | 2026-07-16 08:15 | v6_backtest.py (ventana 30 sesiones, split 60/40, triple-barrier 0.75xATR14_1m/60min, PROB_MIN=0 en replay para observar todas las clases)
# grid WFO 27-combos (V6_MIN/V6_RVOL/V6_RETR_CONT) NO corrido — fase 2 manual (`--grid`); este reporte = calibracion con defaults.

  TLINE_BREAK_LONG         train   4n  50.0% | oos   2n   0.0% | avgW +0.14% avgL -0.08% | prob_bot 54% | PRIOR
  TLINE_BREAK_SHORT        train   6n  50.0% | oos   3n  66.7% | avgW +0.12% avgL -0.15% | prob_bot 54% | PRIOR
  TREND_PULLBACK_LONG      train   1n 100.0% | oos   1n 100.0% | avgW +0.09% avgL +0.00% | prob_bot 64% | PRIOR
  TREND_PULLBACK_SHORT     train   1n   0.0% | oos   1n   0.0% | avgW +0.00% avgL -0.10% | prob_bot 59% | PRIOR
  TREND_REVERSAL_LONG      train   6n  50.0% | oos   2n  50.0% | avgW +0.21% avgL -0.17% | prob_bot 54% | PRIOR
  TREND_REVERSAL_SHORT     train  10n  40.0% | oos   8n  37.5% | avgW +0.15% avgL -0.17% | prob_bot 47% | DEGRADADA
  VWAP_LOSS_SHORT          train   1n 100.0% | oos   2n 100.0% | avgW +0.15% avgL +0.00% | prob_bot 62% | PRIOR
QQQ: 30 sesiones 2026-05-28..2026-07-10 | 72 trades WR 44% (train 44 / oos 28) | WARN set señales difiere entre pasadas
  ORB_LONG                 train   6n  33.3% | oos   1n   0.0% | avgW +0.06% avgL -0.06% | prob_bot 48% | PRIOR
  ORB_SHORT                train   3n  33.3% | oos   6n  66.7% | avgW +0.07% avgL -0.08% | prob_bot 50% | PRIOR
  SQUEEZE_BREAK_LONG       train   0n   0.0% | oos   2n  50.0% | avgW +0.03% avgL -0.08% | prob_bot 56% | PRIOR
  SQUEEZE_BREAK_SHORT      train   0n   0.0% | oos   1n   0.0% | avgW +0.00% avgL -0.10% | prob_bot 56% | PRIOR
  TLINE_BREAK_LONG         train   5n  60.0% | oos   3n   0.0% | avgW +0.03% avgL -0.06% | prob_bot 56% | PRIOR
  TLINE_BREAK_SHORT        train   6n  66.7% | oos   2n  50.0% | avgW +0.09% avgL -0.04% | prob_bot 58% | PRIOR
  TREND_PULLBACK_LONG      train   1n   0.0% | oos   0n   0.0% | avgW +0.00% avgL -0.02% | prob_bot 59% | PRIOR
  TREND_REVERSAL_LONG      train  10n  50.0% | oos   7n  14.3% | avgW +0.07% avgL -0.08% | prob_bot 46% | DEGRADADA
  TREND_REVERSAL_SHORT     train  11n  36.4% | oos   4n  75.0% | avgW +0.08% avgL -0.09% | prob_bot 48% | PRIOR
  VWAP_LOSS_SHORT          train   2n 100.0% | oos   2n  50.0% | avgW +0.07% avgL -0.06% | prob_bot 64% | PRIOR
SLV: 30 sesiones 2026-05-28..2026-07-10 | 75 trades WR 48% (train 45 / oos 30)
  MTF_BB_REV_LONG          train   0n   0.0% | oos   1n   0.0% | avgW +0.00% avgL -0.06% | prob_bot 55% | PRIOR
  ORB_LONG                 train   2n  50.0% | oos   4n  50.0% | avgW +0.15% avgL -0.11% | prob_bot 53% | PRIOR
  ORB_SHORT                train   6n  50.0% | oos   5n  20.0% | avgW +0.11% avgL -0.12% | prob_bot 47% | DEGRADADA
